iter	RMSE
0	11.5327276
1	11.31148455
2	11.11006332
3	10.92069056
4	10.74784681
5	10.57702304
6	10.41581171
7	10.26964015
8	10.13629193
9	9.995806941
10	9.87918083
11	9.788803586
12	9.673945905
13	9.57828987
14	9.462879923
15	9.365099961
16	9.261939323
17	9.171528514
18	9.097658663
19	9.011655723
20	8.910760361
21	8.837178562
22	8.757312741
23	8.689137723
24	8.624650658
25	8.570652909
26	8.498969567
27	8.432027763
28	8.386757917
29	8.334869892
30	8.265042168
31	8.217928791
32	8.163543201
33	8.124410453
34	8.075375831
35	8.033847044
36	7.992865649
37	7.942843883
38	7.897469026
39	7.855200165
40	7.802460459
41	7.730601422
42	7.685479231
43	7.648597326
44	7.619667663
45	7.567786506
46	7.530566867
47	7.486139121
48	7.437757249
49	7.389510358
50	7.356303236
51	7.332231059
52	7.28744861
53	7.246625938
54	7.19190888
55	7.155203944
56	7.112671161
57	7.054164167
58	7.020468086
59	6.986868277
60	6.948537598
61	6.90873313
62	6.86856426
63	6.82711965
64	6.795187675
65	6.761589903
66	6.720851538
67	6.670149906
68	6.632814495
69	6.613409629
70	6.566690548
71	6.545616507
72	6.518066091
73	6.485923843
74	6.433100774
75	6.403463218
76	6.370275151
77	6.339931966
78	6.309904995
79	6.263829888
80	6.236809038
81	6.207341763
82	6.18133231
83	6.161853033
84	6.131214882
85	6.103677423
86	6.062962838
87	6.042125571
88	6.006423761
89	5.987501464
90	5.952789868
91	5.93111094
92	5.893163503
93	5.860757046
94	5.84185921
95	5.819233769
96	5.768002751
97	5.744869373
98	5.720389444
99	5.696247
