iter	Passed	Remaining
0	377	37327
1	686	33651
2	1041	33683
3	1389	33357
4	1744	33141
5	2091	32771
6	2444	32481
7	2794	32138
8	3162	31979
9	3509	31584
10	3846	31124
11	4174	30611
12	4533	30341
13	4869	29911
14	5226	29617
15	5573	29263
16	5929	28950
17	6254	28494
18	6600	28138
19	6947	27789
20	7265	27332
21	7617	27006
22	7962	26657
23	8304	26298
24	8654	25964
25	9010	25644
26	9357	25300
27	9698	24938
28	10040	24580
29	10393	24250
30	10736	23898
31	11089	23564
32	11433	23213
33	11782	22872
34	12128	22523
35	12469	22167
36	12820	21828
37	13167	21483
38	13519	21145
39	13876	20814
40	14216	20458
41	14574	20126
42	14909	19764
43	15239	19395
44	15597	19063
45	15949	18723
46	16303	18384
47	16659	18047
48	17009	17703
49	17368	17368
50	17724	17029
51	18069	16679
52	18408	16324
53	18749	15972
54	19105	15631
55	19463	15293
56	19811	14945
57	20153	14593
58	20512	14254
59	20850	13900
60	21205	13557
61	21557	13212
62	21908	12867
63	22237	12508
64	22588	12162
65	22931	11813
66	23279	11465
67	23624	11117
68	23970	10769
69	24294	10412
70	24638	10063
71	24988	9717
72	25334	9370
73	25675	9021
74	26033	8677
75	26375	8329
76	26706	7977
77	27059	7632
78	27398	7283
79	27755	6938
80	28109	6593
81	28444	6243
82	28783	5895
83	29140	5550
84	29474	5201
85	29828	4855
86	30171	4508
87	30522	4162
88	30872	3815
89	31204	3467
90	31550	3120
91	31901	2774
92	32242	2426
93	32594	2080
94	32941	1733
95	33277	1386
96	33614	1039
97	33963	693
98	34293	346
99	34636	0
